P40509,COPE_YEAST,YIL076W,Coatomer subunit epsilon,SEC28,ANU2
Q12404,MPD1_YEAST,YOR288C,Protein disulfide-isomerase MPD1 precursor,MPD1,
Q08745,RS10A_YEAST,YOR293W,40S ribosomal protein S10-A,RPS10A,
Q08746,RRS1_YEAST,YOR294W,Regulator of ribosome biosynthesis,RRS1,
Q08747,UAF30_YEAST,YOR295W,Upstream activation factor subunit UAF30,UAF30,
Q08749,TIM18_YEAST,YOR297C,Import inner membrane translocase subunit TIM18, mitochondrial precursor,TIM18,
Q08750,MUM3_YEAST,YOR298W,Protein MUM3,MUM3,
Q08754,BUD7_YEAST,YOR299W,Bud site selection protein 7,BUD7,
Q08760,RAX1_YEAST,YOR301W,Bud site selection protein RAX1,RAX1,
Q08956,YIG1_YEAST,YPL201C,Protein YIG1,YIG1,
Q08957,AFT2_YEAST,YPL202C,Iron-regulated transcriptional activator AFT2,AFT2,
P38073,YBO3_YEAST,YBR033W,Putative 103.4 kDa transcriptional regulatory protein in RPL4A-HMT1 intergenic region,EDS1,
P40028,YEN1_YEAST,YER041W,Uncharacterized protein YER041W,YEN1,
P39970,YEN5_YEAST,YER045C,Uncharacterized protein YER045C,ACA1,
P40032,YEN9_YEAST,YER049W,PKHD-type hydroxylase YER049W,TPA1,
P40467,YIN0_YEAST,YIL130W,Probable transcriptional regulatory protein YIL130W,ASG1,
P27796,THIK_YEAST,YIL160C,3-ketoacyl-CoA thiolase, peroxisomal precursor,POT1,FOX3;POX3
P28239,IPYR2_YEAST,YMR267W,Inorganic pyrophosphatase, mitochondrial precursor,PPA2,IPP2
P41940,MPG1_YEAST,YDL055C,Mannose-1-phosphate guanyltransferase,PSA1,MPG1;SRB1;VIG9
P39933,TF3A_YEAST,YPR186C,Transcription factor IIIA,PZF1,TFC2;TFIIIA
P43123,UAP1_YEAST,YDL103C,UDP-N-acetylglucosamine pyrophosphorylase,QRI1,UAP1
P06104,UBC2_YEAST,YGL058W,Ubiquitin-conjugating enzyme E2 2,RAD6,UBC2
Q12044,WSP1_YEAST,YOR220W,Protein WSP1,RCN2,WSP1
P21651,MER2_YEAST,YJR021C,Meiotic recombination 2 protein,REC107,MER2
Q00816,HEX2_YEAST,YDR028C,Protein HEX2,REG1,HEX2;PZF240;SPP43;SRN1
P22276,RPC2_YEAST,YOR207C,DNA-directed RNA polymerase III 130 kDa polypeptide,RET1,PDS2;RPC128;RPC2
P41277,GPP1_YEAST,YIL053W,(DL)-glycerol-3-phosphatase 1,RHR2,GPP1
P38615,MDS1_YEAST,YMR139W,Serine/threonine-protein kinase MDS1/RIM11,RIM11,GSK3;MDS1
Q12495,CAC1_YEAST,YPR018W,Chromatin assembly factor 1 subunit p90,RLF2,CAC1
P12385,ERF1_YEAST,YBR143C,Eukaryotic peptide chain release factor subunit 1,SUP45,SAL4;SUP1;SUP47
P40319,ELO3_YEAST,YLR372W,Elongation of fatty acids protein 3,SUR4,APA1;ELO3;SRE1;VBM1
P09547,SWI1_YEAST,YPL016W,Transcription regulatory protein SWI1,SWI1,ADR6;GAM3;LPA1
P53230,MMP37_YEAST,YGR046W,Mitochondrial import protein MMP37, mitochondrial precursor,TAM41,MMP37
P38085,VAL1_YEAST,YBR069C,Valine/tyrosine/tryptophan amino-acid permease,TAT1,TAP1;VAP1
P12612,TCPA_YEAST,YDR212W,T-complex protein 1 subunit alpha,TCP1,CCT1
P17255,VATA_YEAST,YDL185W,Vacuolar ATP synthase catalytic subunit A,TFP1,CLS8;VMA1
P32842,VATL2_YEAST,YPL234C,Vacuolar ATP synthase subunit c',TFP3,CLS9;VMA11
P14306,CPYI_YEAST,YLR178C,Carboxypeptidase Y inhibitor,TFS1,DKA1;NSP1
P81449,ATPJ_YEAST,YDR322C-A,ATP synthase e chain, mitochondrial,TIM11,ATP21
P47977,CTH2_YEAST,YLR136C,Zinc finger protein CTH2,TIS11,CTH2
Q04228,UBX2_YEAST,YML013W,UBX domain-containing protein 2,UBX2,SEL1
Q07468,VPS39_YEAST,YDL077C,Vacuolar protein sorting-associated protein 39,VAM6,CVT4;VPL18;VPL22;VPS39
P40107,GOG5_YEAST,YGL225W,GDP-mannose transporter,VRG4,GOG5;LDB3;MCD3;VAN2;VIG4
P32843,RNA12_YEAST,YMR302C,Protein RNA12,YME2,PRP12;RNA12
P36010,NDK_YEAST,YKL067W,Nucleoside diphosphate kinase,YNK1,NDK1;YNK
P0C074,RCP10_YEAST,YNL138W-A,RDS3 complex subunit 10,YSF3,RCP10
Q2V2Q3,YB201_YEAST,YBR201C-A,Putative uncharacterized protein YBR201C-A,,
P38330,YB88_YEAST,YBR238C,Uncharacterized protein YBR238C,,
P25562,YCC2_YEAST,YCL022C,Very hypothetical protein YCL022C,,
P25563,YCC3_YEAST,YCL023C,Hypothetical 13.5 kDa protein in AGP1-LEU2 intergenic region,,
Q3E7B0,YE053_YEAST,YER053C-A,Uncharacterized protein YER053C-A,,
P89887,YE076_YEAST,YEL076C-A,Putative uncharacterized protein YEL076C-A/YLR464W,,
P89887,YE076_YEAST,YLR464W,Putative uncharacterized protein YEL076C-A/YLR464W,,
Q3E7X8,YE077_YEAST,YEL077C,Y' element ATP-dependent helicase YEL077C,,
Q3E7A2,YE078_YEAST,YER078W-A,Uncharacterized protein YER078W-A,,
P40097,YE11_YEAST,YER181C,Hypothetical 12.5 kDa protein in ISC10 3'region,,
P53302,YG47_YEAST,YGR190C,Hypothetical 13.4 kDa protein in BUB1-HIP1 intergenic region,,
P42936,YG4D_YEAST,YGR201C,Putative elongation factor 1 gamma homolog,,
Q3E7A3,YJ133_YEAST,YJL133C-A,Uncharacterized protein YJL133C-A,,
Q3E801,YJ136_YEAST,YJL136W-A,Uncharacterized protein YJL136W-A,,
Q3E775,YJ151_YEAST,YJR151W-A,Uncharacterized protein YJR151W-A,,
Q12144,YL064_YEAST,YLR064W,Uncharacterized membrane protein YLR064W,,
Q99382,YL065_YEAST,YLR065C,UPF0372 protein YLR065C,,
Q99208,YL066_YEAST,YLL066C,Y' element ATP-dependent helicase YLL066C,,
Q07888,YL067_YEAST,YLL067C,Y' element ATP-dependent helicase YLL067C,,
Q08001,YL072_YEAST,YLR072W,Uncharacterized protein YLR072W,,
Q08003,YL073_YEAST,YLR073C,Uncharacterized protein YLR073C,,
Q12393,YL091_YEAST,YLR091W,Uncharacterized mitochondrial protein YLR091W,,
Q3E798,YL099_YEAST,YLR099W-A,Uncharacterized protein YLR099W-A,,
Q08045,YL104_YEAST,YLR104W,Uncharacterized protein YLR104W precursor,,
Q12259,YL108_YEAST,YLR108C,BTB/POZ domain-containing protein YLR108C,,
Q12138,YL125_YEAST,YLR125W,Putative uncharacterized protein YLR125W,,
Q12288,YL126_YEAST,YLR126C,Putative glutamine amidotransferase YLR126C,,
Q12208,YL132_YEAST,YLR132C,Uncharacterized protein YLR132C,,
Q12367,YL137_YEAST,YLR137W,Uncharacterized protein YLR137W,,
Q12429,YL143_YEAST,YLR143W,Putative ribonuclease YLR143W,,
Q2V2P1,YL146_YEAST,YLR146W-A,Coiled-coil domain-containing protein YLR146W-A,,
Q99296,YL149_YEAST,YLR149C,Uncharacterized protein YLR149C,,
P54072,YL152_YEAST,YLR152C,Uncharacterized transporter YLR152C,,
Q3E813,YL154_YEAST,YLR154C-G,Uncharacterized protein YLR154C-G,,
P08521,AAP_YEAST,YOR302W,Arginine attenuator peptide,,
P53981,YNB0_YEAST,YNL010W,Uncharacterized protein YNL010W,,
P53980,YNB1_YEAST,YNL011C,Uncharacterized protein YNL011C,,
Q12482,AGC1_YEAST,YPR020C,Mitochondrial aspartate-glutamate transporter AGC1,AGC1,
P36025,YO062_YEAST,YOR062C,Uncharacterized protein YOR062C,,
Q3E832,YO072_YEAST,YOR072W-B,Uncharacterized protein YOR072W-B,,
Q08232,YO073_YEAST,YOL073C,Uncharacterized membrane protein YOL073C,,
Q12486,YOR31_YEAST,YOR131C,Putative uncharacterized hydrolase YOR131C,,
Q08900,YOR76_YEAST,YOR376W,Uncharacterized membrane protein YOR376W,,
Q12354,APTH1_YEAST,YLR118C,Acyl-protein thioesterase 1,,
O93938,AQY2_YEAST,YLL053C,Aquaporin-2,AQY2,
Q8TGM7,ART2_YEAST,YLR154W-A,Uncharacterized protein ART2,ART2,
Q8TGM5,ART3_YEAST,YLR154W-E,Uncharacterized protein ART3,ART3,
Q08991,YP279_YEAST,YPL279C,Uncharacterized membrane protein YPL279C,,
Q12697,ATC9_YEAST,YOR291W,Probable cation-transporting ATPase 2,,
P39712,FLO9_YEAST,YAL063C,Flocculation protein FLO9 precursor,FLO9,
P39705,NUP60_YEAST,YAR002W,Nucleoporin NUP60,NUP60,FUN17
P39706,SWD1_YEAST,YAR003W,COMPASS component SWD1,SWD1,CPS50;FUN16;SAF49
P22336,RFA1_YEAST,YAR007C,Replication factor-A protein 1,RFA1,BUF2;FUN3;RPA1
P38074,HMT1_YEAST,YBR034C,HNRNP arginine N-methyltransferase,HMT1,HCP1;ODP1;RMT1
P35206,CSG2_YEAST,YBR036C,Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2 precursor,CSG2,CLS2
P23833,SCO1_YEAST,YBR037C,Protein SCO1, mitochondrial precursor,SCO1,PET161
P14180,CHS2_YEAST,YBR038W,Chitin synthase 2,CHS2,
P38077,ATPG_YEAST,YBR039W,ATP synthase gamma chain, mitochondrial precursor,ATP3,
P38224,FIG1_YEAST,YBR040W,Factor-induced gene 1,FIG1,
P38123,SWD3_YEAST,YBR175W,COMPASS component SWD3,SWD3,CPS30;SAF35
P38122,PANB_YEAST,YBR176W,3-methyl-2-oxobutanoate hydroxymethyltransferase,ECM31,
P38297,FZO1_YEAST,YBR179C,Transmembrane GTPase FZO1,FZO1,
P38128,SMP1_YEAST,YBR182C,Transcription factor SMP1,SMP1,
P38302,NTC20_YEAST,YBR188C,Pre-mRNA-splicing factor NTC20,NTC20,SNT384
P05755,RS9B_YEAST,YBR189W,40S ribosomal protein S9-B,RPS9B,RPS13A;RPS13B;SUP46
Q02753,RL21A_YEAST,YBR191W,60S ribosomal protein L21-A,RPL21A,URP1
P38127,RIM2_YEAST,YBR192W,Mitochondrial carrier protein RIM2,RIM2,PYT1
P38300,MBA1_YEAST,YBR185C,Protein MBA1, mitochondrial precursor,MBA1,
P29366,BEM1_YEAST,YBR200W,Bud emergence protein 1,BEM1,SRO1
P0C155,CBPS2_YEAST,YOL153C,Putative carboxypeptidase YOL153C,,
P06787,CALM_YEAST,YBR109C,Calmodulin,CMD1,CaM
P25555,GBP2_YEAST,YCL011C,Single-strand telomeric DNA-binding protein GBP2,GBP2,RLF6
P32656,CHAC_YEAST,YER163C,Cation transport regulator-like protein,,
P25644,PAT1_YEAST,YCR077C,Topoisomerase II-associated protein PAT1,PAT1,MRT1
P25364,HCM1_YEAST,YCR065W,Forkhead transcription factor HCM1,HCM1,
P25648,SRB8_YEAST,YCR081W,Suppressor of RNA polymerase B SRB8,SRB8,GIG1;MED12;NUT6;SSN5;YCR080W
P10862,RAD18_YEAST,YCR066W,Postreplication repair E3 ubiquitin-protein ligase RAD18,RAD18,
P16649,TUP1_YEAST,YCR084C,Glucose repression regulatory protein TUP1,TUP1,AAR1;AER2;AMM1;CRT4;CYC9;FLK1;ROX4;SFL2;UMR7
P25651,CSM1_YEAST,YCR086W,Monopolin complex subunit CSM1,CSM1,SPO86
P25365,SED4_YEAST,YCR067C,Protein SED4,SED4,
Q07897,CMS1_YEAST,YLR003C,Protein CMS1,CMS1,
P48445,BPL1_YEAST,YDL141W,Biotin--protein ligase,BPL1,ACC2
P34730,BMH2_YEAST,YDR099W,Protein BMH2,BMH2,SCD3
P25603,CWH36_YEAST,YCL007C,Protein CWH36,CWH36,
P53206,CYSK_YEAST,YGR012W,Putative cysteine synthase,,
P04803,SYWM_YEAST,YDR268W,Tryptophanyl-tRNA synthetase, mitochondrial,MSW1,MSW
P87284,PMP3_YEAST,YDR276C,Plasma membrane proteolipid 3,PMP3,SNA1
P47052,DHSX_YEAST,YJL045W,Probable succinate dehydrogenase [ubiquinone] flavoprotein subunit 2, mitochondrial precursor,,
P15454,KGUA_YEAST,YDR454C,Guanylate kinase,GUK1,PUR5
Q03280,TOM1_YEAST,YDR457W,E3 ubiquitin protein ligase TOM1,TOM1,SSR2
Q12743,DFM1_YEAST,YDR411C,DER1-like family member protein 1,DFM1,
Q03290,TFB3_YEAST,YDR460W,RNA polymerase II transcription factor B subunit 3,TFB3,RIG2
Q00947,STP1_YEAST,YDR463W,Zinc finger protein STP1,STP1,BAP1;SSY2
Q03323,SDC1_YEAST,YDR469W,COMPASS component SDC1,SDC1,CPS25;SAF19
Q07505,DLHH_YEAST,YDL086W,Putative carboxymethylenebutenolidase,,
P38821,DNPEP_YEAST,YHR113W,Putative aspartyl aminopeptidase,,
Q08225,DPP3_YEAST,YOL057W,Probable dipeptidyl-peptidase 3,,
P39996,GTT3_YEAST,YEL017W,Glutathione transferase 3,GTT3,
P39995,EAF5_YEAST,YEL018W,Chromatin modification-related protein EAF5,EAF5,
P32630,UTR5_YEAST,YEL035C,Protein UTR5,UTR5,
P56628,RL22B_YEAST,YFL034C-A,60S ribosomal protein L22-B,RPL22B,YFL035C-B
P43563,MOB2_YEAST,YFL034C-B,CBK1 kinase activator protein MOB2,MOB2,YFL035C;YFL035C-A
Q12480,ETFA_YEAST,YPR004C,Probable electron transfer flavoprotein subunit alpha, mitochondrial precursor,,
P42940,ETFB_YEAST,YGR207C,Probable electron transfer flavoprotein subunit beta,,
Q08822,ETFD_YEAST,YOR356W,Probable electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial precursor,,
Q08987,FDH2_YEAST,YPL275W,Formate dehydrogenase 2,FDH2,
Q08987,FDH2_YEAST,YPL276W,Formate dehydrogenase 2,FDH2,
Q06543,FET5X_YEAST,YLR243W,Transcription factor YLR243W,,
P21147,ACO1_YEAST,YGL055W,Acyl-CoA desaturase 1,OLE1,MDM2
P07264,LEU2_YEAST,YGL009C,3-isopropylmalate dehydratase,LEU1,
P32614,FRDS_YEAST,YEL047C,Fumarate reductase,,
P40956,GTS1_YEAST,YGL181W,Protein GTS1,GTS1,FHT1;LSR1
Q03557,GATH_YEAST,YMR293C,Probable glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial precursor,,
P53045,ERG25_YEAST,YGR060W,C-4 methylsterol oxidase,ERG25,FET6
P53239,COX18_YEAST,YGR062C,Inner membrane protein COX18, mitochondrial precursor,COX18,OXA2
Q99339,GIN11_YEAST,YLL065W,Protein GIN11,GIN11,
Q03786,GNTK_YEAST,YDR248C,Probable gluconokinase,,
P32905,RS0A_YEAST,YGR214W,40S ribosomal protein S0-A,RPS0A,NAB1;NAB1A;YST1
P37267,CBP4_YEAST,YGR174C,Protein CBP4, mitochondrial precursor,CBP4,
P11914,MPPA_YEAST,YHR024C,Mitochondrial-processing peptidase alpha subunit, mitochondrial precursor,MAS2,MIF2
P23968,VATO_YEAST,YHR026W,Vacuolar ATP synthase subunit c'',PPA1,VMA16
P38764,RPN1_YEAST,YHR027C,26S proteasome regulatory subunit RPN1,RPN1,HRD2;NAS1;RPD1
P18962,DAP2_YEAST,YHR028C,Dipeptidyl aminopeptidase B,DAP2,DPP2
Q00539,NAM8_YEAST,YHR086W,Protein NAM8,NAM8,MRE2;MUD15
P22140,EPT1_YEAST,YHR123W,Ethanolaminephosphotransferase,EPT1,
P18562,UPP_YEAST,YHR128W,Uracil phosphoribosyltransferase,FUR1,
P40515,FIS1_YEAST,YIL065C,Mitochondria fission 1 protein,FIS1,MDV2
P47075,VTC4_YEAST,YJL012C,Vacuolar transporter chaperone 4,VTC4,PHM3;YJL012C-A
P39077,TCPG_YEAST,YJL014W,T-complex protein 1 subunit gamma,CCT3,BIN2;TCP3
Q05533,INM2_YEAST,YDR287W,Inositol monophosphatase 2,INM2,IMP2
P14359,SNA3_YEAST,YJL151C,Protein SNA3,SNA3,
Q07532,IWR1_YEAST,YDL115C,Protein IWR1,IWR1,
Q12350,JID1_YEAST,YPR054C,J domain-containing protein 1,JID1,
Q03361,JIP4_YEAST,YDR474C,Uncharacterized protein JIP4,JIP4,YDR474C
Q07551,KAR_YEAST,YDL124W,NADPH-dependent alpha-keto amide reductase,,
P38070,KBN8_YEAST,YBR028C,Probable serine/threonine-protein kinase YBR028C,,
Q12100,KD025_YEAST,YDL025C,Probable serine/threonine-protein kinase YDL025C,,
P36005,KKQ1_YEAST,YKL161C,Probable serine/threonine-protein kinase YKL161C,,
P36003,KKR1_YEAST,YKL171W,Probable serine/threonine-protein kinase YKL171W,,
Q03533,KM8S_YEAST,YMR291W,Probable serine/threonine-protein kinase YMR291W,,
P53739,KN8R_YEAST,YNR047W,Probable serine/threonine-protein kinase YNR047W,,
Q12003,KP236_YEAST,YPL236C,Serine/threonine-protein kinase YPL236C,,
Q10740,LKHA4_YEAST,YNL045W,Probable leukotriene A-4 hydrolase,,
P36006,MYO3_YEAST,YKL129C,Myosin-3,MYO3,
P40884,MALX1_YEAST,YJL216C,Probable alpha-glucosidase YJL216C,,
P40439,MALX2_YEAST,YIL172C,Probable alpha-glucosidase YIL172C/YJL221C,,
P53051,MALX3_YEAST,YGR287C,Probable alpha-glucosidase FSP2,FSP2,
Q08295,MALX4_YEAST,YOL157C,Probable alpha-glucosidase YOL157C,,
P03873,MBI2_YEAST,Q0110,Cytochrome b mRNA maturase bI2,BI2,
P13181,GAL2_YEAST,YLR081W,Galactose transporter,GAL2,IMP1
P32802,EMP70_YEAST,YLR083C,Endomembrane protein EMP70 precursor,EMP70,p24a
P39012,GAA1_YEAST,YLR088W,GPI transamidase component GAA1,GAA1,END2
Q07930,PML1_YEAST,YLR016C,Pre-mRNA leakage protein 1,PML1,
Q12325,SUL2_YEAST,YLR092W,Sulfate permease 2,SUL2,SEL2
Q12255,NYV1_YEAST,YLR093C,Vacuolar v-SNARE NYV1,NYV1,MAM2
P43634,CHA4_YEAST,YLR098C,CHA4 activatory protein,CHA4,SIL2;SIL3
Q08032,CDC45_YEAST,YLR103C,Cell division control protein 45,CDC45,SLD4
Q12019,MDN1_YEAST,YLR106C,Midasin,MDN1,REA1
P32485,HOG1_YEAST,YLR113W,Mitogen-activated protein kinase HOG1,HOG1,SSK3
Q12102,CFT2_YEAST,YLR115W,Protein CFT2,CFT2,YDH1
Q12186,BBP_YEAST,YLR116W,Branchpoint-bridging protein,MSL5,BBP;SF1
Q12309,CLF1_YEAST,YLR117C,Pre-mRNA-splicing factor CLF1,CLF1,NTC77;SYF3
Q99176,SRN2_YEAST,YLR119W,Protein SRN2,SRN2,SRN10;VPS37
P20485,KICH_YEAST,YLR133W,Choline kinase,CKI1,CKI
Q12198,METW_YEAST,YLL058W,Putative cystathionine gamma-synthase YLL058W,,
Q04533,METX_YEAST,YML082W,Putative cystathionine gamma-synthase YML082W,,
P38257,MMS4_YEAST,YBR100W,Crossover junction endonuclease MMS4,MMS4,SLX2;YBR100W
Q12117,MRH1_YEAST,YDR033W,Protein MRH1,MRH1,
P35200,MSF1_YEAST,YLR168C,Protein MSF1,MSF1,
P53185,MTC2_YEAST,YGL036W,Protein MTC2,MTC2,
P47069,MPS3_YEAST,YJL018W,Spindle pole body assembly component MPS3,MPS3,NEP98;YJL018W
Q04493,PFD5_YEAST,YML094W,Prefoldin subunit 5,GIM5,PFD5
P36028,NFT1_YEAST,YKR104W,ABC transporter NFT1,NFT1,
Q04991,FMP42_YEAST,YMR221C,Protein FMP42,FMP42,
Q05027,TAF9_YEAST,YMR236W,Transcription initiation factor TFIID subunit 9,TAF9,TAF17
P35845,OSH1_YEAST,YAR044W,Oxysterol-binding protein homolog 1,OSH1,SWH1
P53859,CSL4_YEAST,YNL232W,3'-5' exoribonuclease CSL4,CSL4,SKI4
P13134,KEX2_YEAST,YNL238W,Kexin precursor,KEX2,QDS1;SRB1;VMA45
Q05518,PAL1_YEAST,YDR348C,Uncharacterized protein YDR348C,,
Q04430,PANK_YEAST,YDR531W,Pantothenate kinase,,
P53179,PALF_YEAST,YGL046W,pH-response regulator protein palF/RIM8,RIM8,PAL3;YGL046W
Q06608,PDXH_YEAST,YPR172W,Putative pyridoxamine 5'-phosphate oxidase,,
Q12405,PEX84_YEAST,YOR084W,Peroxisomal membrane protein YOR084W,,
P38744,PHS_YEAST,YHL018W,Putative pterin-4-alpha-carbinolamine dehydratase,,
P25578,PGS1_YEAST,YCL003W,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PGS1,PEL1;YCL003W
Q04004,PLP1_YEAST,YDR183W,Phosducin-like protein 1,PLP1,
Q06494,PLR1_YEAST,YPR127W,Putative pyridoxal reductase,,
Q06644,PMT7_YEAST,YDR307W,Dolichyl-phosphate-mannose--protein mannosyltransferase 7,PMT7,
Q08683,APC5_YEAST,YOR249C,Anaphase-promoting complex subunit 5,APC5,RMC1
P36002,PTK1_YEAST,YKL199C,Serine/threonine-protein kinase PTK1/STK1,PTK1,KKT8;POT1;STK1;YKL199C;YKT9
Q12221,PUF2_YEAST,YPR039C,Protein PUF2,PUF2,
P53060,YGZA_YEAST,YGL250W,Nuclear protein YGL250W,RMR1,
P38881,YHZ5_YEAST,YHR195W,Uncharacterized protein YHR195W,NVJ1,VAB36
P38883,YHZ7_YEAST,YHR197W,Uncharacterized protein YHR197W,RIX1,IPI2
P38888,YH04_YEAST,YHR204W,Uncharacterized glycosyl hydrolase YHR204W precursor,MNL1,HTM1
P40559,YIA2_YEAST,YIL002C,Uncharacterized protein YIL002C,INP51,SJL1
P40558,YIA3_YEAST,YIL003W,Putative uncharacterized protein YIL003W,CFD1,DRE3
P40556,YIA6_YEAST,YIL006W,Putative mitochondrial carrier YIL006W,YIA6,NDT1
P40492,YIJ7_YEAST,YIL097W,Uncharacterized protein YIL097W,FYV10,GID9
P40462,YIN7_YEAST,YIL137C,Putative zinc aminopeptidase YIL137C,TMA108,RBF108
P40452,YIP7_YEAST,YIL157C,Hypothetical 22.0 kDa protein in FOX3-UBP7 intergenic region,COA1,FMP35
P40564,YIS4_YEAST,YIR004W,Uncharacterized J domain-containing protein YIR004W,DJP1,ICS1;PAS22
P40360,YJH1_YEAST,YJL071W,Hypothetical 65.6 kDa protein in SMC3-MRPL8 intergenic region,ARG2,HRB574
P38339,RGD1_YEAST,YBR260C,Protein RGD1,RGD1,
Q04598,RM34_YEAST,YDR115W,60S ribosomal protein L34, mitochondrial precursor,,
Q03465,RPN4_YEAST,YDL020C,Protein RPN4,RPN4,SON1;UFD5
P14771,SDC25_YEAST,YLL016W,Guanine nucleotide exchange factor SDC25,SDC25,SCD25
P14771,SDC25_YEAST,YLL017W,Guanine nucleotide exchange factor SDC25,SDC25,SCD25
P17324,SDHL_YEAST,YIL167W,L-serine dehydratase,SDL1,SDH1
P17324,SDHL_YEAST,YIL168W,L-serine dehydratase,SDL1,SDH1
P40363,SFGH_YEAST,YJL068C,S-formylglutathione hydrolase,,
P36169,SKG1_YEAST,YKR099C-A,Suppressor of lethality of KEX2 GAS1 double null mutant protein 1,SKG1,YKR099C-A
Q06688,SRR1L_YEAST,YLR412W,SRR1-like protein,,
Q03707,SRC1_YEAST,YML033W,Protein SRC1,SRC1,HEH1;YML033W
Q6WNK7,SUS1_YEAST,YBR111W-A,Protein SUS1,SUS1,
P53394,SULX_YEAST,YPR003C,Putative sulfate transporter YPR003C,,
P53852,SYC_YEAST,YNL247W,Cysteinyl-tRNA synthetase,,
P39965,SYPC_YEAST,YER087W,Probable prolyl-tRNA synthetase, cytoplasmic,,
Q05506,SYRC_YEAST,YDR341C,Arginyl-tRNA synthetase, cytoplasmic,,
Q08686,THTR_YEAST,YOR251C,Putative thiosulfate sulfurtransferase,,
P35172,TREB_YEAST,YBR001C,Probable trehalase,NTH2,
Q8TGJ3,U373_YEAST,YNL024C-A,UPF0373 protein YNL024C-A precursor,,
P32772,UGX2_YEAST,YDL169C,Protein UGX2,UGX2,
P38709,UGPA2_YEAST,YHL012W,Probable UTP--glucose-1-phosphate uridylyltransferase,,
Q06466,VP62L_YEAST,YPR157W,Putative vacuolar protein sorting-associated protein YPR157W,,
P39968,VAC8_YEAST,YEL013W,Vacuolar protein 8,VAC8,YEB3
Q07825,XPP_YEAST,YLL029W,Putative Xaa-Pro aminopeptidase,,
P0C1V3,YA016_YEAST,YAL016C-B,Uncharacterized protein YAL016C-B,,
Q8TGV0,YA035_YEAST,YAR035C-A,Uncharacterized protein YAR035C-A,,
Q3E741,YA037_YEAST,YAL037C-A,Putative uncharacterized protein YAL037C-A,,
Q3E793,YA044_YEAST,YAL044W-A,Uncharacterized bolA-like protein YAL044W-A,,
Q3E791,YA063_YEAST,YAL063C-A,Uncharacterized protein YAL063C-A,,
O13511,YA065_YEAST,YAL065C,Uncharacterized protein YAL065C,,
Q8TGK6,YA067_YEAST,YAL067W-A,Putative UPF0377 family protein YAL067W-A,,
O42831,YA075_YEAST,YAR075W,Putative inosine-5'-monophosphate dehydrogenase-like protein YAR075W,,
Q6B2U8,YA64A_YEAST,YAL064C-A,Uncharacterized protein YAL064C-A,,
O13512,YA64B_YEAST,YAL064W-B,Uncharacterized membrane protein YAL064W-B,,
P39703,YAA4_YEAST,YAL004W,Putative uncharacterized protein YAL004W,,
P31379,YAB8_YEAST,YAL018C,Uncharacterized membrane protein YAL018C,,
P39728,YAD7_YEAST,YAL037W,Putative uncharacterized protein YAL037W,,
P39725,YAE5_YEAST,YAL045C,Putative uncharacterized protein YAL045C,,
P39724,YAE6_YEAST,YAL046C,Uncharacterized bolA-like protein YAL046C,,
P39721,YAE9_YEAST,YAL049C,Uncharacterized protein YAL049C,,
P39711,YAG4_YEAST,YAL064W,Putative uncharacterized protein YAL064W,,
P39710,YAG6_YEAST,YAL066W,Very hypothetical protein YAL066W,,
Q8TGK7,YAG8_YEAST,YAL068W-A,UPF0320 protein YAL068W-A,,
P39546,YAJ3_YEAST,YAR023C,DUP240 protein YAR023C,,
P39548,YAJ8_YEAST,YAR028W,DUP240 protein YAR028W,,
P39549,YAJ9_YEAST,YAR029W,DUP240 protein YAR029W,,
P39550,YAK0_YEAST,YAR030C,Very hypothetical protein YAR030C,,
P39557,YAL7_YEAST,YAR047C,Uncharacterized membrane protein YAR047C,,
P39559,YAM3_YEAST,YAR053W,Putative uncharacterized protein YA5053W,,
P38895,YAN0_YEAST,YAR060C,Putative uncharacterized protein YAR060C/YHR212C,,
P38895,YAN0_YEAST,YHR212C,Putative uncharacterized protein YAR060C/YHR212C,,
P39563,YAN4_YEAST,YAR064W,Uncharacterized protein YAR064W,,
Q3E762,YB230_YEAST,YBR230W-A,Putative uncharacterized protein YBR230W-A,,
P38294,YB24_YEAST,YBR174C,Hypothetical 11.5 kDa protein in SMY2-RPS6B intergenic region,,
Q3E776,YB255_YEAST,YBR255C-A,Uncharacterized protein YBR255C-A,,
P38296,YB28_YEAST,YBR178W,Hypothetical 14.4 kDa protein in SMY2-RPS6B intergenic region,,
Q8TGU5,YB296_YEAST,YBR296C-A,Uncharacterized protein YBR296C-A,,
Q8TGK4,YB298_YEAST,YBR298C-A,Uncharacterized protein YBR298C-A,,
P38299,YB34_YEAST,YBR184W,Hypothetical 60.6 kDa protein in SMP1-MBA1 intergenic region,,
P0C268,YB39B_YEAST,YBL039W-B,Uncharacterized protein YBL039W-B,,
P38303,YB40_YEAST,YBR190W,Very hypothetical protein YBR190W,,
P38306,YB47_YEAST,YBR197C,Uncharacterized protein YBR197C,,
P38139,YB54_YEAST,YBR204C,Putative peroxisomal lipase in CDC47-KTR3 intergenic region,,
P38309,YB56_YEAST,YBR206W,Very hypothetical protein YBR206W,,
